date,shibuya,shinjyuku,marunouchi,shinagawa,shimokitazawa,hachiouji,osaka,sapporo,sendai,fukuoka
2020/11/11,1,1,1,1,1,1,1,0,0,2
2020/11/12,0,0,0,0,0,0,1,0,0,1
2020/11/13,-2,-2,-2,-2,-2,-2,-2,0,-1,0
2020/11/14,0,0,0,0,0,1,1,0,0,-1
2020/11/15,2,2,2,2,2,2,1,0,1,1
2020/11/16,1,1,1,1,1,1,1,0,0,1
2020/11/17,1,1,1,1,1,1,1,-1,0,1
2020/11/18,1,1,1,1,1,1,1,-1,1,1
2020/11/19,1,1,1,1,1,0,1,0,1,1
2020/11/20,1,1,1,1,1,1,1,0,1,1
2020/11/21,1,1,1,1,1,1,1,-1,0,1
2020/11/22,1,1,1,1,1,1,1,-1,0,2
2020/11/23,-1,-1,-1,-1,-1,-1,-1,-1,-2,1
2020/11/24,1,1,1,1,1,0,-2,-1,0,-1
2020/11/25,1,1,1,1,1,1,1,1,0,-2
2020/11/26,1,1,1,1,1,1,1,1,2,2
2020/11/27,0,0,0,0,0,0,1,2,1,1
2020/11/28,1,1,1,1,1,1,1,0,1,1
2020/11/29,-2,-2,-2,-2,-2,-1,-2,2,1,1
2020/11/30,0,0,0,0,0,1,0,-1,1,1
2020/12/1,-1,-1,-1,-1,-1,-1,2,-1,1,1
2020/12/2,1,1,1,1,1,1,2,0,1,0
2020/12/3,1,1,1,1,1,1,1,0,1,2
2020/12/4,0,0,0,0,0,0,2,-2,0,0
2020/12/5,0,0,0,0,0,-1,0,1,-1,0
2020/12/6,-2,-2,-2,-2,-2,-2,-1,1,-2,0
2020/12/7,-2,-2,-2,-2,-2,-2,-2,1,1,1
2020/12/8,-2,-2,-2,-2,-2,-2,-2,0,-1,1
2020/12/9,-2,-2,-2,-2,-2,-2,-2,0,1,2
2020/12/10,1,1,1,1,1,1,1,-1,1,2
2020/12/11,1,1,1,1,1,1,1,-1,1,1
2020/12/12,1,1,1,1,1,1,0,-1,0,0
2020/12/13,1,1,1,1,1,1,1,-1,1,1
2020/12/14,2,2,2,2,2,1,1,0,1,1
2020/12/15,0,0,0,0,0,0,0,0,0,2
2020/12/16,1,1,1,1,1,0,0,1,1,1
2020/12/17,1,1,1,1,1,1,1,1,1,1
2020/12/18,1,1,1,1,1,1,1,0,1,1
2020/12/19,0,0,0,0,0,1,1,0,0,0
2020/12/20,0,0,0,0,0,0,1,0,1,0
2020/12/21,0,0,0,0,0,0,-2,-1,-2,0
2020/12/22,-2,-2,-2,-2,-2,-2,0,1,-2,-1
2020/12/23,-2,-2,-2,-2,-2,-2,-2,1,-1,1
2020/12/24,0,0,0,0,0,-1,1,1,0,1
2020/12/25,1,1,1,1,1,0,1,0,0,1
2020/12/26,0,0,0,0,0,0,0,0,1,1
2020/12/27,1,1,1,1,1,0,0,0,1,1
2020/12/28,1,1,1,1,1,1,-2,-1,0,-2
2020/12/29,0,0,0,0,0,0,0,-1,0,-2
2020/12/30,1,1,1,1,1,0,0,0,-1,-1
2020/12/31,1,1,1,1,1,0,1,-1,0,1
2021/1/1,-2,-2,-2,-2,-2,0,1,-1,-1,1
2021/1/2,1,1,1,1,1,1,-1,-2,-2,0
2021/1/3,-2,-2,-2,-2,-2,-2,1,0,-2,0
2021/1/4,1,1,1,1,1,1,-2,0,-2,-1
2021/1/5,1,1,1,1,1,1,0,-2,-2,1
2021/1/6,0,0,0,0,0,0,-1,0,0,-1
2021/1/7,0,0,0,0,0,0,2,2,1,1
2021/1/8,-1,-1,-1,-1,-1,-2,-2,1,1,0
2021/1/9,-2,-2,-2,-2,-2,-1,-2,1,0,-2
2021/1/10,-2,-2,-2,-2,-2,-2,0,0,-2,-2
2021/1/11,1,1,1,1,1,1,0,0,-1,1
2021/1/12,1,1,1,1,1,0,-2,1,0,-1
2021/1/13,-1,-1,-1,-1,-1,0,-2,1,-1,-2
2021/1/14,-1,-1,-1,-1,-1,0,-2,1,-1,0
2021/1/15,-2,-2,-2,-2,-2,-2,1,1,-1,0
2021/1/16,1,1,1,1,1,1,0,-2,-2,1
2021/1/17,1,1,1,1,1,1,0,-2,-2,-2
2021/1/18,2,2,2,2,2,2,0,1,2,-1
2021/1/19,2,2,2,2,2,2,0,2,1,0
2021/1/20,2,2,2,2,2,0,0,1,1,0
2021/1/21,2,2,2,2,2,2,2,1,1,0
2021/1/22,1,1,1,1,1,1,1,1,1,1
2021/1/23,-2,-2,-2,-2,-2,-1,-1,1,0,0
2021/1/24,0,0,0,0,0,1,-1,1,0,-2
2021/1/25,2,2,2,2,2,1,1,1,1,1
2021/1/26,2,2,2,2,2,2,1,1,1,1
2021/1/27,1,1,1,1,1,1,1,2,2,1
2021/1/28,-2,-2,-2,-2,-2,0,1,1,1,1
2021/1/29,1,1,1,1,1,1,1,1,0,2
2021/1/30,0,0,0,0,0,1,2,1,1,2
2021/1/31,2,2,2,2,2,2,2,1,1,2
2021/2/1,1,1,1,1,1,1,1,-1,1,2
2021/2/2,1,1,1,1,1,1,1,1,1,1
2021/2/3,0,0,0,0,0,0,0,1,1,-2
2021/2/4,1,1,1,1,1,2,1,0,2,-1
2021/2/5,1,1,1,1,1,1,1,0,1,0
2021/2/6,1,1,1,1,1,1,1,0,-1,0
2021/2/7,1,1,1,1,1,1,1,0,-1,1
2021/2/8,1,1,1,1,1,1,1,1,-1,0
2021/2/9,1,1,1,1,1,2,2,0,0,0
2021/2/10,1,1,1,1,1,1,1,-1,1,1
2021/2/11,2,2,2,2,2,1,1,-1,1,1
2021/2/12,1,1,1,1,1,1,1,0,1,1
2021/2/13,1,1,1,1,1,0,1,1,1,1
2021/2/14,0,0,0,0,0,0,1,0,0,1
2021/2/15,-2,-2,-2,-2,-2,-2,-1,1,-1,1
2021/2/16,0,0,0,0,0,0,-2,1,1,2
2021/2/17,0,0,0,0,0,-2,-1,1,0,1
2021/2/18,0,0,0,0,0,-1,1,1,-2,-2
2021/2/19,-1,-1,-1,-1,-1,-1,-2,0,-2,-2
2021/2/20,0,0,0,0,0,0,-2,-1,-2,-2
2021/2/21,0,0,0,0,0,0,-2,1,-2,-1
2021/2/22,1,1,1,1,1,1,-1,1,0,-2
2021/2/23,-2,-2,-2,-2,-2,-1,0,1,1,-2
2021/2/24,0,0,0,0,0,0,1,0,1,1
2021/2/25,0,0,0,0,0,0,-1,-1,-2,-2
2021/2/26,1,1,1,1,1,0,1,1,0,-1
2021/2/27,-2,-2,-2,-2,-2,-2,0,1,0,1
2021/2/28,-1,-1,-1,-1,-1,-1,0,2,1,1
2021/3/1,0,0,0,0,0,0,0,0,-1,1
2021/3/2,0,0,0,0,0,0,0,0,-2,0
2021/3/3,-1,-1,-1,-1,-1,0,-1,1,-2,0
2021/3/4,-1,-1,-1,-1,-1,-1,-1,0,0,-2
2021/3/5,0,0,0,0,0,0,0,-1,-1,0
2021/3/6,-1,-1,-1,-1,-1,0,-1,1,-1,-2
2021/3/7,1,1,1,1,1,0,-2,1,0,-2
2021/3/8,0,0,0,0,0,0,-1,1,0,-2
2021/3/9,-1,-1,-1,-1,-1,-2,-1,-1,-2,-1
2021/3/10,0,0,0,0,0,0,-2,-1,-1,-2
2021/3/11,0,0,0,0,0,-1,-2,1,-1,-2
2021/3/12,-1,-1,-1,-1,-1,-2,-1,0,0,-2
2021/3/13,-1,-1,-1,-1,-1,-1,-1,1,-2,0
2021/3/14,-1,-1,-1,-1,-1,-2,-2,1,0,-2
2021/3/15,1,1,1,1,1,1,1,-2,0,1
2021/3/16,-1,-1,-1,-1,-1,-1,1,0,-1,1
2021/3/17,-1,-1,-1,-1,-1,-1,-1,1,-2,0
2021/3/18,1,1,1,1,1,1,0,-1,1,-2
2021/3/19,-2,-2,-2,-2,-2,-2,0,0,0,1
2021/3/20,-1,-1,-1,-1,-1,-1,-2,0,0,-2
2021/3/21,0,0,0,0,0,0,-1,-1,0,0
2021/3/22,0,0,0,0,0,0,-1,-1,-1,-2
2021/3/23,0,0,0,0,0,1,0,1,1,0
2021/3/24,0,0,0,0,0,0,2,1,0,1
2021/3/25,-2,-2,-2,-2,-2,-2,1,1,0,2
2021/3/26,1,1,1,1,1,0,1,1,1,1
2021/3/27,-1,-1,-1,-1,-1,0,1,2,2,1
2021/3/28,-1,-1,-1,-1,-1,-1,0,0,0,0
2021/3/29,0,0,0,0,0,0,-2,0,0,-2
2021/3/30,1,1,1,1,1,1,1,0,1,-1
2021/3/31,1,1,1,1,1,1,1,-1,0,1
2021/4/1,1,1,1,1,1,1,1,0,1,1
2021/4/2,-1,-1,-1,-1,-1,0,0,1,0,-1
2021/4/3,-1,-1,-1,-1,-1,-1,-1,0,1,-1
2021/4/4,-2,-2,-2,-2,-2,-1,-1,1,1,-1
2021/4/5,-1,-1,-1,-1,-1,0,-1,0,0,-2
2021/4/6,0,0,0,0,0,0,-1,1,1,-1
2021/4/7,1,1,1,1,1,1,1,1,1,0
2021/4/8,1,1,1,1,1,1,1,0,1,1
2021/4/9,1,1,1,1,1,1,2,1,1,2
2021/4/10,-2,-2,-2,-2,-2,-1,1,0,1,0
2021/4/11,1,1,1,1,1,0,1,0,0,1
2021/4/12,1,1,1,1,1,1,1,1,2,1
2021/4/13,1,1,1,1,1,1,1,0,1,0
2021/4/14,1,1,1,1,1,0,1,1,0,1
2021/4/15,1,1,1,1,1,1,-1,-1,0,0
2021/4/16,1,1,1,1,1,0,0,2,1,1
2021/4/17,1,1,1,1,1,1,0,2,2,0
2021/4/18,1,1,1,1,1,1,1,1,2,1
2021/4/19,-1,-1,-1,-1,-1,0,1,1,1,1
2021/4/20,1,1,1,1,1,1,1,-1,1,1
2021/4/21,0,0,0,0,0,0,-1,0,0,1
2021/4/22,1,1,1,1,1,1,1,0,0,0
2021/4/23,1,1,1,1,1,1,1,0,1,1
2021/4/24,0,0,0,0,0,1,1,1,-1,1
2021/4/25,0,0,0,0,0,1,1,0,0,1
2021/4/26,1,1,1,1,1,0,1,1,0,1
2021/4/27,0,0,0,0,0,0,1,1,0,1
2021/4/28,-1,-1,-1,-1,-1,-1,1,1,-2,1
2021/4/29,-2,-2,-2,-2,-2,-2,-2,1,-2,-2
2021/4/30,1,1,1,1,1,1,1,1,0,1
2021/5/1,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2021/5/2,1,1,1,1,1,1,-1,1,1,-1
2021/5/3,1,1,1,1,1,1,1,2,1,1
2021/5/4,2,2,2,2,2,2,2,-1,2,2
2021/5/5,1,1,1,1,1,1,1,1,1,1
2021/5/6,1,1,1,1,1,1,2,0,2,2
2021/5/7,-1,-1,-1,-1,-1,0,0,-1,-1,0
2021/5/8,1,1,1,1,1,0,0,0,0,0
2021/5/9,1,1,1,1,1,1,1,1,1,1
2021/5/10,1,1,1,1,1,1,1,2,2,1
2021/5/11,0,0,0,0,0,-1,0,0,0,1
2021/5/12,-1,-1,-1,-1,-1,-1,1,1,1,1
2021/5/13,1,1,1,1,1,1,1,0,1,1
2021/5/14,1,1,1,1,1,0,0,1,1,-1
2021/5/15,1,1,1,1,1,1,1,1,1,0
2021/5/16,1,1,1,1,1,1,2,1,1,1
2021/5/17,2,2,2,2,2,2,2,0,1,2
2021/5/18,2,2,2,2,2,1,2,0,1,2
2021/5/19,1,1,1,1,1,0,1,0,1,2
2021/5/20,0,0,0,0,0,0,0,-1,1,1
2021/5/21,1,1,1,1,1,1,1,0,1,1
2021/5/22,1,1,1,1,1,1,1,0,1,1
2021/5/23,1,1,1,1,1,0,0,0,0,2
2021/5/24,1,1,1,1,1,0,0,1,1,1
2021/5/25,0,0,0,0,0,1,1,0,1,1
2021/5/26,1,1,1,1,1,1,1,0,1,1
2021/5/27,0,0,0,0,0,0,1,0,0,1
2021/5/28,0,0,0,0,0,0,0,1,0,-1
2021/5/29,0,0,0,0,0,0,0,1,0,1
2021/5/30,0,0,0,0,0,0,0,1,0,-1
2021/5/31,1,1,1,1,1,0,1,1,1,1
2021/6/1,1,1,1,1,1,1,1,1,1,1
2021/6/2,1,1,1,1,1,2,1,0,2,1
2021/6/3,0,0,0,0,0,0,0,2,0,0
2021/6/4,0,0,0,0,0,0,0,2,0,0
2021/6/5,0,0,0,0,0,0,0,1,1,0
2021/6/6,1,1,1,1,1,1,1,1,2,1
2021/6/7,1,1,1,1,1,0,1,0,1,1
2021/6/8,2,2,2,2,2,2,2,0,0,1
2021/6/9,1,1,1,1,1,1,1,1,1,2
2021/6/10,1,1,1,1,1,1,1,0,1,1
2021/6/11,0,0,0,0,0,1,2,0,0,1
2021/6/12,1,1,1,1,1,1,1,1,1,0
2021/6/13,1,1,1,1,1,1,1,1,2,1
2021/6/14,1,1,1,1,1,1,1,1,1,1
2021/6/15,0,0,0,0,0,0,0,0,-1,0
2021/6/16,1,1,1,1,1,1,0,1,1,0
2021/6/17,1,1,1,1,1,1,1,2,1,1
2021/6/18,0,0,0,0,0,0,1,1,0,1
2021/6/19,-1,-1,-1,-1,-1,-1,0,1,0,0
2021/6/20,0,0,0,0,0,1,0,0,0,0
2021/6/21,1,1,1,1,1,1,1,1,1,0
2021/6/22,1,1,1,1,1,1,1,2,1,1
2021/6/23,1,1,1,1,1,1,1,1,1,2
2021/6/24,1,1,1,1,1,0,2,0,0,2
2021/6/25,1,1,1,1,1,1,1,1,0,0
2021/6/26,1,1,1,1,1,1,1,2,2,1
2021/6/27,2,2,2,2,2,2,1,0,1,2
2021/6/28,1,1,1,1,1,1,1,0,1,1
2021/6/29,1,1,1,1,1,1,2,1,1,1
2021/6/30,2,2,2,2,2,2,1,1,0,1
2021/7/1,1,1,1,1,1,1,1,1,1,1
2021/7/2,0,0,0,0,0,1,0,1,0,1
2021/7/3,0,0,0,0,0,0,0,0,1,1
2021/7/4,1,1,1,1,1,1,0,0,1,0
2021/7/5,1,1,1,1,1,1,1,0,1,1
2021/7/6,2,2,2,2,2,0,1,0,1,2
2021/7/7,0,0,0,0,0,0,0,0,0,0
2021/7/8,1,1,1,1,1,0,0,1,0,-1
2021/7/9,0,0,0,0,0,0,0,1,0,1
2021/7/10,0,0,0,0,0,1,0,1,0,0
2021/7/11,1,1,1,1,1,1,1,0,1,1
2021/7/12,1,1,1,1,1,1,1,0,1,1
2021/7/13,0,0,0,0,0,0,0,0,0,1
2021/7/14,1,1,1,1,1,1,1,0,1,0
2021/7/15,0,0,0,0,0,0,1,0,0,1
2021/7/16,0,0,0,0,0,0,0,0,1,1
2021/7/17,1,1,1,1,1,1,0,0,1,0
2021/7/18,1,1,1,1,1,1,1,0,1,0
2021/7/19,2,2,2,2,2,2,1,0,0,1
2021/7/20,1,1,1,1,1,1,1,1,0,0
2021/7/21,0,0,0,0,0,0,-1,0,0,0
2021/7/22,1,1,1,1,1,1,1,0,1,1
2021/7/23,2,2,2,2,2,2,1,0,1,2
2021/7/24,0,0,0,0,0,0,0,0,0,1
2021/7/25,0,0,0,0,0,0,2,1,1,0
2021/7/26,0,0,0,0,0,1,1,1,1,1
2021/7/27,1,1,1,1,1,1,1,0,1,1
2021/7/28,1,1,1,1,1,1,1,0,1,1
2021/7/29,1,1,1,1,1,1,1,0,1,0
2021/7/30,0,0,0,0,0,0,0,0,0,0
2021/7/31,1,1,1,1,1,1,0,0,1,0
2021/8/1,1,1,1,1,1,1,1,0,1,1
2021/8/2,0,0,0,0,0,0,1,1,0,1
2021/8/3,0,0,0,0,0,0,0,1,0,0
2021/8/4,1,1,1,1,1,1,1,0,2,1
2021/8/5,1,1,1,1,1,1,1,0,0,1
2021/8/6,1,1,1,1,1,1,1,0,1,0
2021/8/7,1,1,1,1,1,1,1,0,0,0
2021/8/8,1,1,1,1,1,1,1,0,2,1
2021/8/9,1,1,1,1,1,2,1,0,1,1
2021/8/10,1,1,1,1,1,1,1,0,0,1
2021/8/11,1,1,1,1,1,1,1,0,1,1
2021/8/12,1,1,1,1,1,1,1,0,1,1
2021/8/13,1,1,1,1,1,1,1,0,1,1
2021/8/14,1,1,1,1,1,1,1,1,1,1
2021/8/15,1,1,1,1,1,1,1,0,1,0
2021/8/16,1,1,1,1,1,1,1,0,1,0
2021/8/17,1,1,1,1,1,1,1,0,0,0
2021/8/18,-1,-1,-1,-1,-1,-1,0,1,0,0
2021/8/19,0,0,0,0,0,0,0,1,1,0
2021/8/20,0,0,0,0,0,0,0,1,1,0
2021/8/21,1,1,1,1,1,1,1,1,1,-1
2021/8/22,1,1,1,1,1,1,1,0,1,1
2021/8/23,0,0,0,0,0,0,0,1,0,0
2021/8/24,1,1,1,1,1,1,0,0,1,0
2021/8/25,1,1,1,1,1,2,1,0,2,1
2021/8/26,2,2,2,2,2,2,1,0,0,1
2021/8/27,1,1,1,1,1,1,1,0,1,1
2021/8/28,0,0,0,0,0,0,1,1,1,0
2021/8/29,0,0,0,0,0,0,1,1,1,0
2021/8/30,1,1,1,1,1,1,1,0,1,1
2021/8/31,0,0,0,0,0,0,1,1,0,1
2021/9/1,1,1,1,1,1,1,0,1,1,0
2021/9/2,1,1,1,1,1,1,2,1,1,1
2021/9/3,1,1,1,1,1,1,1,1,1,1
2021/9/4,1,1,1,1,1,1,2,1,1,1
2021/9/5,1,1,1,1,1,1,1,2,1,1
2021/9/6,1,1,1,1,1,1,1,1,0,1
2021/9/7,-1,-1,-1,-1,-1,-1,0,0,-1,0
2021/9/8,1,1,1,1,1,1,0,0,0,0
2021/9/9,1,1,1,1,1,1,1,1,1,1
2021/9/10,0,0,0,0,0,0,1,0,1,1
2021/9/11,1,1,1,1,1,1,1,1,2,2
2021/9/12,2,2,2,2,2,2,1,1,2,1
2021/9/13,2,2,2,2,2,2,2,1,2,1
2021/9/14,2,2,2,2,2,2,2,0,1,1
2021/9/15,1,1,1,1,1,0,1,2,-1,0
2021/9/16,1,1,1,1,1,0,0,1,0,0
2021/9/17,0,0,0,0,0,0,-2,0,-2,-2
2021/9/18,-1,-1,-1,-1,-1,-1,0,0,-1,0
2021/9/19,1,1,1,1,1,1,1,1,1,1
2021/9/20,1,1,1,1,1,2,2,1,1,1
2021/9/21,1,1,1,1,1,1,-1,1,2,-2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,